time,ctrt,ftrt,pbic,amac,edta,pfix,ptot,porg
T2,Faba Oat,Compost,22.22788778,47.21478755,147.4576271,78.01495178,366.9,219.4423729
T2,Faba Oat,Compost,50.56157049,50.66042155,225,123.778008,364.9,139.9
T2,Faba Oat,Compost,40.80620946,53.08352849,1143.220339,1049.330601,585.45,-557.770339
T2,Radish,Compost,38.0147399,50.97858816,266.0528031,177.0594751,382.15,116.0971969
T2,Radish,Compost,41.04937537,56.90866511,300.8033192,202.8452787,354,53.19668079
T2,Radish,Compost,11.57545112,48.40898108,251.9067797,191.9223475,380.9,128.9932203
T2,Faba,Compost,15.65347535,55.51838222,201.6949153,130.5230577,350.9,149.2050847
T2,Faba,Compost,32.63106638,57.81143764,414.8305085,324.3880045,343.65,-71.18050847
T2,Faba,Compost,49.3420583,55.11943794,292.858404,188.3969077,342.6,49.74159605
T2,Oat,Compost,20.38658017,55.30463552,302.3305085,226.6392928,320.35,18.01949153
T2,Oat,Compost,30.21058894,53.69555035,596.3983051,512.4921658,452.6,-143.7983051
T2,Oat,Compost,15.33625338,54.55352421,374.5762712,304.6864936,330.8,-43.77627119
T2,Control,Compost,35.90785908,48.65060778,562.8666884,478.3082215,397.75,-165.1166884
T2,Control,Compost,26.77217862,50.06326962,944.9152542,868.079806,410.5,-534.4152542
T2,Control,Compost,35.96529524,45.50691244,725,643.5277923,378.4,-346.6
T2,All,Control,32.0599983,52.64674176,68.00847458,-16.69826548,309.2,241.1915254
T2,All,Control,22.13206425,1.133489461,68.24478488,44.97923117,326.05,257.8052151
T2,All,Control,18.6876859,62.62763466,68.00847458,-13.30684598,331.6,263.5915254
T2,Faba Oat,Control,29.2825699,70.15456674,37.73834746,-61.69878918,293.85,256.1116525
T2,Faba Oat,Control,41.35043465,76.45236836,103.2838983,-14.5189047,331.45,228.1661017
T2,Faba Oat,Control,13.12942565,61.83425247,71.06285311,-3.900825012,310.45,239.3871469
T2,Radish,Control,23.36942296,58.28103044,85.96805737,4.317603964,349.8,263.8319426
T2,Radish,Control,19.89982921,64.20922414,50.11408083,-33.99497252,347.65,297.5359192
T2,Radish,Control,60.57622191,82.87376294,112.7118644,-30.73812044,338.75,226.0381356
T2,Faba,Control,33.21275738,71.03195588,134.9576271,30.71291386,368.95,233.9923729
T2,Faba,Control,23.88171403,58.58106066,95.33898305,12.87620836,316.6,221.2610169
T2,Faba,Control,13.20430016,55.69495558,102.5423729,33.64311714,318.15,215.6076271
T2,Oat,Control,19.88183877,66.40949611,150.4237288,64.13239394,329.6,179.1762712
T2,Oat,Control,17.16429185,66.22430393,95.33898305,11.95038727,318.45,223.1110169
T2,Oat,Control,13.38132064,54.51522248,82.20338983,14.30684671,307.2,224.9966102
T2,Control,Control,12.45330161,51.23653396,82.09745763,18.40762206,299.6,217.5025424
T2,Control,Control,14.33478536,47.29168241,62.45586158,0.82939381,296.65,234.1941384
T2,Control,Control,17.20560324,51.33173488,73.30508475,4.767746625,301.4,228.0949153
T3,All,Compost,78.76502082,99.69086651,71.8220339,-106.6338534,328.95,257.1279661
T3,All,Compost,46.29472253,75.58733876,83.68644068,-38.19562061,370.4,286.7135593
T3,All,Compost,77.96787626,103.5081967,107.8389831,-73.63708991,375.3,267.4610169
T3,Faba Oat,Compost,69.49401811,83.80729341,261.5201271,108.2188156,470.45,208.9298729
T3,Faba Oat,Compost,79.92809458,95.34496859,216.7372881,41.46422497,468.35,251.6127119
T3,Faba Oat,Compost,80.70434265,78.89929742,184.3220339,24.71839383,434.35,250.0279661
T3,Radish,Compost,148.8641682,92.78688525,363.3474576,121.6964042,732.35,369.0025424
T3,Radish,Compost,82.69595762,73.50563176,140.8898305,-15.31175887,395,254.1101695
T3,Radish,Compost,63.91671624,1.133489461,123.3050847,58.25487904,392.4,269.0949153
T3,Faba,Compost,26.87836983,71.99081819,156.1440678,57.27487978,393.6,237.4559322
T3,Faba,Compost,12.04167965,53.04635515,278.8135593,213.7255245,388,109.1864407
T3,Faba,Compost,37.95623765,75.81967213,117.5847458,3.808835986,344,226.4152542
T3,Oat,Compost,38.21539522,58.1437493,112.2881356,15.92899107,363.95,251.6618644
T3,Oat,Compost,31.63831053,56.07962529,159.9576271,72.2396913,401.35,241.3923729
T3,Oat,Compost,40.69407854,51.46648823,115.8898305,23.72926373,369.5,253.6101695
T3,Control,Compost,30.91255205,79.6440281,170.9745763,60.41799612,434.6,263.6254237
T3,Control,Compost,101.0547197,100.886719,492.1610169,290.2195782,575.75,83.58898305
T3,Control,Compost,55.21356336,93.31147541,287.7118644,139.1868256,472.2,184.4881356
T3,All,Control,28.65475954,51.32244154,115.4661017,35.48890061,329.9,214.4338983
T3,All,Control,18.1522903,49.79859485,88.77118644,20.82030129,306.8,218.0288136
T3,All,Control,24.96114064,54.26550578,136.2288136,57.00216714,360.75,224.5211864
T3,Faba Oat,Control,41.27247606,73.10002266,157.2033898,42.83089111,365.4,208.1966102
T3,Faba Oat,Control,11.90007868,48.52402357,128.6016949,68.17759267,315.1,186.4983051
T3,Faba Oat,Control,14.48470572,46.99422074,143.220339,81.74141252,335.35,192.129661
T3,Radish,Control,29.77658268,53.60920148,142.3728814,58.9870972,360.1,217.7271186
T3,Radish,Control,34.82195972,50.23512137,153.1779661,68.12088501,359.6,206.4220339
T3,Radish,Control,33.99573194,52.07984833,179.4491525,93.37357227,364.95,185.5008475
T3,Faba,Control,38.64031236,60.87598974,194.0677966,94.55149451,330.8,136.7322034
T3,Faba,Control,24.20493282,58.66882272,127.1186441,44.24488853,314.6,187.4813559
T3,Faba,Control,56.46322578,49.71469462,186.0169492,79.83902875,351.3,165.2830508
T3,Oat,Control,10.45449137,40.73067916,103.3898305,52.20465997,318.8,215.4101695
T3,Oat,Control,56.42781602,61.61016319,155.720339,37.68235977,332.4,176.679661
T3,Oat,Control,16.42167681,53.14648334,155.5084746,85.94031443,343.5,187.9915254
T3,Control,Control,2.923665996,47.12185421,171.6101695,121.5646493,326.75,155.1398305
T3,Control,Control,7.332181336,50.3884614,136.0169492,78.29630642,311.6,175.5830508
T3,Control,Control,10.42474717,44.72131148,152.7542373,97.60817863,311.95,159.1957627
Baseline,All,Compost,9.834471167,47.35883424,180.2884615,123.0951561,329.45,149.1615385
Baseline,Faba Oat,Compost,10.51397977,120.8384075,545.5508475,414.1984602,410.25,-135.3008475
Baseline,Radish,Compost,18.3307555,51.68149883,164.1949153,94.18266092,307.85,143.6550847
Baseline,Faba,Compost,27.75371802,53.82201405,282.1463494,200.5706173,377.15,95.00365059
Baseline,Oat,Compost,176.0029073,123.7676588,287.9237288,-11.84683724,381.4,93.47627119
Baseline,Control,Compost,20.62544376,57.61785148,210.4383963,132.1951011,356.05,145.6116037
Baseline,All,Control,9.413444378,41.75175644,261.8644068,210.699206,323.05,61.18559322
Baseline,Faba Oat,Control,9.0743605,53.08665105,344.4915254,282.3305139,323.4,-21.09152542
Baseline,Radish,Control,6.173120838,52.13133641,224.2910691,165.9866119,311.3,87.0089309
Baseline,Faba,Control,19.02082094,58.87119438,82.62711864,4.735103324,288.4,205.7728814
Baseline,Oat,Control,6.986317668,55.77985948,129.325565,66.55938782,311.1,181.774435
Baseline,Control,Control,9.801193606,53.52893405,142.7877825,79.45765483,299.8,157.0122175
