ftrt,ctrt,time,PBIC,AMAC,EDTA,PFIX,PTOT,PORG
CMPT,R,1,30.47888425,67.70313043,369.9268739,271.7448592,386.25,16.32312614
CMPT,R,1,21.62407853,59.27800966,417.8244973,336.9224091,390.55,-27.27449726
CMPT,R,1,21.52694151,56.60168116,391.2248629,313.0962402,417.25,26.02513711
CMPT,R,2,25.98353795,41.94148364,310.9803271,243.0553056,384.075,73.09467286
CMPT,R,2,18.92299107,34.23293997,219.7999558,166.6440248,351.425,131.6250442
CMPT,R,2,17.43303571,38.60441252,234.7701149,178.7326667,322.725,87.95488506
CMPT,R,2,27.41800475,37.85026233,422.9885057,357.7202387,363.675,-59.31350575
CNTL ,R,1,16.06170634,76.9564633,140.1433692,47.12519954,398.35,258.2066308
CNTL ,R,1,10.88276973,40.65965217,342.6523297,291.1099078,379.7,37.04767025
CNTL ,R,1,12.33471247,56.2345314,544.8028674,476.2336235,443.1,-101.7028674
CNTL ,R,1,11.1690683,51.09443478,230.8243728,168.5608697,386.7,155.8756272
CNTL ,R,2,10.11160714,29.64597229,104.1666667,64.40908723,310.275,206.1083333
CNTL ,R,2,6.765075822,28.72861134,93.54046935,58.04678219,264.475,170.9345307
CNTL ,R,2,14.1702819,28.67475463,214.1357206,171.2906841,332.525,118.3892794
CNTL ,R,2,11.76968183,31.4263725,196.7285588,153.5325045,314.425,117.6964412
IFERT ,R,1,9.573976278,39.94539894,271.8637993,222.3444241,401.35,129.4862007
IFERT ,R,1,14.24677791,51.691542,139.7849462,73.84662632,340.55,200.7650538
IFERT ,R,1,16.31733006,42.27317874,259.1397849,200.5492761,365.95,106.8102151
IFERT ,R,1,10.89810716,53.36677965,323.4767025,259.2118157,375.7,52.22329749
IFERT ,R,2,10.58496315,28.31631199,213.2183908,174.3171157,294.075,80.8566092
IFERT ,R,2,16.59481207,28.30235522,266.5229885,221.6258212,281.825,15.30201149
IFERT ,R,2,10.8063166,26.67828001,112.7320955,75.24749888,289.375,176.6429045
IFERT ,R,2,17.07296767,29.61609759,167.5287356,120.8396704,293.375,125.8462644
CMPT,RO,1,13.21405808,58.34746185,166.8458781,95.28435821,355.15,188.3041219
CMPT,RO,1,16.60362863,80.47607729,321.6845878,224.6048819,402.3,80.61541219
CMPT,RO,1,34.39503967,80.16689855,261.6487455,147.0868073,356.95,95.30125448
CMPT,RO,1,89.92673701,137.2683478,232.9749104,5.779825554,442.75,209.7750896
CMPT,RO,2,12.35329061,35.94688757,128.8613506,80.5611724,375.775,246.9136494
CMPT,RO,2,13.54024158,38.85367186,107.3275862,54.93367277,334.525,227.1974138
CMPT,RO,2,12.47829861,31.73177942,115.9482759,71.73819783,346.325,230.3767241
CMPT,RO,2,19.07559584,38.39851702,128.1130268,70.63891396,358.725,230.6119732
CNTL ,RO,1,21.12305603,79.45397209,378.8530466,278.2760185,443.75,64.89695341
CNTL ,RO,1,14.95741186,57.67414493,211.1517367,138.52018,307.1,95.94826325
CNTL ,RO,1,17.07908875,54.75627053,120.9323583,49.09699903,372.5,251.5676417
CNTL ,RO,1,15.15168589,60.89711295,115.9963437,39.94754485,415.1,299.1036563
CNTL ,RO,2,10.4125414,37.31752429,138.0747126,90.34464695,364.225,226.1502874
CNTL ,RO,2,11.68526786,38.17342227,134.0517241,84.19303401,325.275,191.2232759
CNTL ,RO,2,11.85263357,32.936659,158.1956418,113.4063492,305.275,147.0793582
CNTL ,RO,2,10.18636621,35.71224967,115.0862069,69.18759102,307.275,192.1887931
IFERT ,RO,1,12.04841391,72.75627053,224.1935484,139.3888639,395.95,171.7564516
IFERT ,RO,1,16.51160409,70.73694686,179.7491039,92.50055299,358.95,179.2008961
IFERT ,RO,1,10.45332188,77.14274396,277.7777778,190.1817119,472.6,194.8222222
IFERT ,RO,1,8.398107157,69.76852501,278.1362007,199.9695685,344.55,66.41379928
IFERT ,RO,2,14.0015211,34.48832321,147.4137931,98.9239488,332.525,185.1112069
IFERT ,RO,2,9.743303571,38.73781426,113.8948755,65.41375764,342.625,228.7301245
IFERT ,RO,2,18.15830499,43.13363793,88.45186782,27.1599249,286.475,198.0231322
IFERT ,RO,2,8.917410714,35.99794767,94.13912835,49.22376997,282.475,188.3358716
